uid,name,longitude,latitude,free_bikes,empty_slots
7271,Yonge St / Alexander St - SMART,-79.383572,43.662862,13,5
7275,Queen St W / James St,-79.380701,43.652276,6,5
7371,Eglinton Ave W / Henning Ave SMART,-79.40161,43.7063473,2,17
7377,Balliol St / Yonge St  SMART,-79.39419,43.6978701,3,16
7376,Frobisher Ave / Lascelles Blvd,-79.40045,43.696708,15,3
7375,Front St E / Scott St,-79.37549,43.6476616,4,4
7374,Frederick St / The Esplanade,-79.36839,43.6487245,15,4
7098,Riverdale Park South (Broadview Ave),-79.35347,43.667819,12,3
7014,Sherbourne St / Carlton St (Allan Gardens),-79.373181,43.663102,10,6
7015,King St W / Bay St (West Side),-79.380576,43.64852,18,20
7012,Elizabeth St / Edward St (Bus Terminal),-79.385327,43.656026,4,10
7010,King St W / Spadina Ave,-79.395003,43.645323,12,4
7139,Glen Edyth Dr / Davenport Rd,-79.405556,43.677778,3,10
7168,Queens Quay / Yonge St,-79.375308,43.641646,2,29
7169,Front St W / Bay St (North Side),-79.378912,43.646162,3,7
7085,Danforth Ave / Westlake Ave,-79.304848,43.687323,1,14
7031,Jarvis St / Isabella St,-79.379385,43.668991,9,13
7163,Yonge St / Wood St,-79.3825,43.6622222,8,7
7160,King St W / Tecumseth St,-79.40555555555557,43.64333333333333,2,15
7161,Beverley St / College St,-79.39527777777778,43.6575,2,21
7164,Gould St / Yonge St (Ryerson University),-79.381019,43.657424,3,19
7283,Front St W / Bay St (South Side),-79.378761,43.64595,9,9
7281,Charles St W / Balmuto St - SMART,-79.38725,43.668427,3,16
7280,Charles St E / Jarvis St - SMART,-79.381171,43.669604,5,15
7287,Queen St E / Pape Ave - SMART,-79.337789,43.661673,15,1
7286,Gerrard St E / Broadview - SMART,-79.352055,43.665656,13,3
7289,Humber Bay Shores Park East,-79.4722622,43.6308933,14,7
7288,Humber Bay Shores Park West,-79.480284,43.6224434,19,12
7131,Taddle Creek Park,-79.398443,43.66986,3,12
7236,Thompson St / Broadview Ave - SMART,-79.350325,43.659471,10,2
7234,Roncesvalles Ave / Marmaduke St,-79.450842,43.650492,7,12
7232,Queen St W  /  Fuller Ave - SMART,-79.439223,43.640255,9,7
7233,King / Cowan Ave - SMART,-79.431734,43.637922,6,10
7230,Garden Ave / Roncesvalles Ave,-79.447915,43.643769,15,3
7238,Sorauren Ave / Geoffrey St - SMART,-79.4445087,43.649172,2,14
7239,Bloor St W / Manning Ave - SMART,-79.416124,43.663912,6,14
7057,Simcoe St / Wellington St W South,-79.3853654,43.6458569,25,2
7278,Mallon Ave / Jones Ave -SMART,-79.33443,43.66587,5,11
7508,Berkeley St / Dundas St E - SMART,-79.367318,43.658816,8,10
7497,128 Sterling Rd - SMART,-79.444792,43.654004,8,12
7496,Sunnyside Ave / The Queensway - SMART,-79.44865,43.6397,12,7
7493,Sackville St / Eastern Ave - SMART,-79.3595,43.653809,8,4
7494,Davenport Rd / McAlpine St - SMART,-79.391253,43.673768,1,11
7489,Sumach St  / Queen St E,-79.358749,43.656638,3,16
7485,Blythwood Rd / Yonge St - SMART,-79.399993,43.716652,1,13
7486,Gerrard St E / Main St,-79.299332,43.684261,5,17
7483,Southwood Dr / Kingston Rd - SMART,-79.297974,43.678685,0,11
7480,Neil McLellan Park,-79.47779,43.65143,5,9
7479,Jane St / Bloor St W (Jane Subway Station),-79.48477,43.64976,7,8
7477,Antler St / Campbell Ave - SMART,-79.449066,43.664182,11,9
7474,Clarence Square,-79.3929,43.64407,5,18
7471,Lake Shore Blvd W / Louisa St,-79.48674,43.61868,10,5
7468,Front St W / Simcoe St,-79.38702,43.6442,14,2
7467,Lower Simcoe St / Bremner Blvd,-79.38409,43.64283,11,3
7466,Glendonwynne Ave / Bloor St W,-79.47421,43.65182,12,7
7465,Russell Hill Rd / St Clair Ave W,-79.408019,43.685569,9,10
7458,Church St / Lombard St,-79.375233,43.651678,5,11
7462,Richmond St E / Yonge St,-79.378743,43.651838,8,7
7461,High Park Amphitheatre,-79.464366,43.645653,7,15
7457,Queen's Park Cres W / Hoskin Ave,-79.394009,43.665221,16,5
