uid,entertainment,education,dining,park,shopping,metro_station,library,bank,atm,creditunion
7202,50,50,50,29,12,6,18,50,47,50
7228,14,15,22,11,2,0,2,10,3,4
7711,20,50,47,13,1,0,2,24,4,19
7650,3,24,21,7,0,0,1,20,4,13
7712,40,39,50,21,2,0,0,46,12,32
7679,4,50,21,1,1,2,8,18,2,15
7640,2,30,21,12,1,0,2,20,4,13
7260,50,50,50,26,9,2,14,50,29,50
7099,23,50,41,14,1,0,2,23,7,17
7453,20,50,50,28,5,4,13,50,23,50
7713,50,50,50,28,11,6,17,50,47,50
7345,0,2,0,3,0,0,0,0,0,0
7728,18,42,31,15,0,3,1,18,2,13
7719,50,45,50,15,7,0,9,50,16,50
7715,2,31,14,9,0,0,1,10,3,7
7717,50,50,50,25,3,0,6,50,16,39
7716,34,50,50,26,5,3,4,50,37,50
7720,48,50,50,19,4,0,7,50,22,50
7721,45,49,50,34,9,4,12,50,41,50
7724,8,50,40,14,1,1,5,26,6,15
7725,28,36,27,20,3,2,7,19,8,11
7130,29,50,39,27,4,4,13,37,9,27
7680,15,6,20,15,2,0,0,17,6,11
7243,26,12,33,18,2,0,0,25,9,15
7729,1,26,24,10,0,1,3,15,2,9
7730,21,19,38,22,2,0,2,32,12,17
7548,39,50,50,29,10,3,31,50,27,50
7731,1,29,14,2,1,0,0,8,1,7
7505,32,49,50,20,1,0,6,50,20,50
7738,0,11,8,3,0,0,0,0,0,0
7732,1,7,4,4,0,0,1,2,0,2
7735,1,8,4,3,0,0,1,1,0,1
7737,0,11,2,2,0,0,0,0,0,0
7736,1,10,1,3,0,0,1,0,0,0
7733,0,26,12,4,2,1,0,9,1,7
7734,1,11,6,2,0,0,1,2,0,2
7743,4,10,11,2,3,0,0,7,0,6
7740,0,11,13,1,0,0,1,5,0,5
7742,5,18,15,2,3,0,1,11,1,8
7251,37,50,35,30,4,5,36,50,18,38
7746,2,13,14,8,2,0,1,14,3,9
7745,2,14,9,3,3,0,1,4,0,4
7744,2,12,3,5,0,0,0,6,1,4
7747,5,23,18,3,0,0,1,11,1,7
7094,2,50,37,12,0,3,2,28,3,21
7748,0,12,7,4,0,0,0,5,0,4
7749,1,20,6,3,0,1,1,11,1,8
7750,0,39,21,7,2,1,1,12,2,9
7543,50,43,47,12,6,0,14,50,13,41
7752,2,3,0,7,0,0,0,6,2,6
7751,1,25,8,2,0,1,1,13,2,9
7753,0,7,12,8,0,0,2,16,5,10
7741,9,28,15,13,0,0,1,15,1,10
7025,23,42,37,28,4,4,11,50,12,37
7754,3,25,18,2,2,0,1,21,4,14
7755,0,10,5,2,0,0,1,1,0,1
7756,1,20,10,2,4,0,2,7,3,5
7758,1,18,10,1,4,0,1,5,1,3
